Instance,Brute force algorithm
Input Path,./data/matrix_10.txt
Nodes Number,10
Time,[ms]
1,111.260498
2,93.939903
3,87.457603
4,86.976707
5,88.555397
6,95.135101
7,104.629997
8,112.446800
9,118.182304
10,124.213295


Input Path,./data/matrix_5.txt
Nodes Number,5
Time,[ms]
1,0.204300
2,0.193300
3,0.202300
4,0.194000
5,0.193600
6,0.199600
7,0.193800
8,0.191600
9,0.198300
10,0.192000


Input Path,./data/matrix_6.txt
Nodes Number,6
Time,[ms]
1,1.278600
2,0.954400
3,0.952600
4,0.959600
5,0.970400
6,1.048600
7,0.946100
8,0.950900
9,0.948400
10,0.965700


